#info This is a digital text version of the 菅家本 manuscript edition of <i>Zhenguan Zhengyao</i>. Sequence order is reconstructed from Xie Baocheng, text taken from the modern edition. Last updated 21 February 2020.
Chapternumber;ChapterTitle
1;君道
2;政體
3;任賢
4;求諫
5;納諫
6;君臣鑒戒
7;論擇官
8;論封建
9;論太子諸王定分
10;論尊師傅
11;教戒太子諸王
12;規諫太子
13;論仁義
14;論忠義
15;論孝友
16;論公平
17;論誠信
18;論儉約
19;論謙讓
20;論仁惻
21;慎所好
22;慎言語
23;杜讒佞
24;論悔過
25;論奢縱
26;論貪鄙
27;崇儒學
28;論文史
29;論禮樂
30;務農
31;論刑法
32;論赦令
33;論貢獻
34;辯興亡
35;議征伐
36;議安邊
37;論行幸
38;論畋獵
39;論災祥
40;論慎終